City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
yerofey pavlovich,53.9667,121.9667,43.16,25,46,11.52,RU,1651801018
sao gabriel,-30.3364,-54.32,55.71,85,16,2.68,BR,1651801019
morehead,37.2711,-87.1764,66.94,91,100,3.44,US,1651800840
halifax,44.6453,-63.5724,43.34,90,20,2.3,CA,1651800719
hambantota,6.1241,81.1185,79.14,100,20,6.91,LK,1651801019
saryshagan,0.0,0.0,0.0,0,0,0.0,0,0
solnechnyy,50.7214,136.6319,37.36,96,100,3.02,RU,1651801024
yulara,-25.2406,130.9889,58.84,38,100,14.97,AU,1651801010
north bend,43.4065,-124.2243,57.92,97,100,18.41,US,1651801024
muscatine,41.4667,-91.1335,55.58,81,100,9.22,US,1651801025
mount isa,-20.7333,139.5,69.57,37,8,12.66,AU,1651801025
longyearbyen,78.2186,15.6401,22.84,86,75,0.0,SJ,1651801025
tomari,47.7658,142.0683,53.74,72,88,26.51,RU,1651801026
artyk,0.0,0.0,0.0,0,0,0.0,0,0
bandiagara,14.3501,-3.6104,90.12,13,91,8.32,ML,1651801026
yangjiang,21.85,111.9667,79.52,70,1,4.65,CN,1651801027
mogadishu,2.0371,45.3438,80.92,81,84,13.82,SO,1651801027
high prairie,55.4334,-116.4858,55.04,77,100,3.85,CA,1651801028
lucea,18.451,-78.1736,78.66,78,27,7.2,JM,1651801028
khudumelapye,-23.8833,24.75,59.59,48,1,3.96,BW,1651801029
okha,53.5739,142.9478,32.83,97,100,6.93,RU,1651800918
port hawkesbury,45.6169,-61.3485,36.79,89,0,5.75,CA,1651801029
aklavik,68.2191,-135.0107,28.92,86,100,13.0,CA,1651801030
lundazi,-12.2929,33.1782,57.43,92,1,5.61,ZM,1651801030
terrace,54.5163,-128.6035,53.51,46,75,2.3,CA,1651800886
tura,25.5198,90.2201,79.23,65,57,2.93,IN,1651800973
qaqortoq,60.7167,-46.0333,34.14,94,100,15.21,GL,1651801031
ulladulla,-35.35,150.4667,61.7,38,0,9.73,AU,1651801031
port hedland,-20.3167,118.5667,78.85,34,0,19.57,AU,1651801031
yanam,16.7333,82.2167,85.86,74,44,2.24,IN,1651801032
sinjar,36.3209,41.8754,59.04,54,12,2.15,IQ,1651801032
meulaboh,4.1363,96.1285,76.96,95,100,11.03,ID,1651801033
kaniama,-7.5667,24.1833,64.36,86,89,3.98,CD,1651801033
nador,35.174,-2.9287,57.45,82,0,2.3,MA,1651800892
hailar,49.2,119.7,45.54,17,0,20.51,CN,1651801034
saint-philippe,-21.3585,55.7679,76.59,86,55,16.06,RE,1651800842
lata,40.1629,-8.3327,56.07,83,0,2.64,PT,1651801034
urumqi,43.801,87.6005,59.95,77,75,11.18,CN,1651801035
fairbanks,64.8378,-147.7164,50.59,74,100,3.44,US,1651800914
quibdo,5.6947,-76.6611,73.47,99,100,4.27,CO,1651801035
bayan,46.0833,127.4,50.31,59,97,16.4,CN,1651801036
yopal,5.3378,-72.3959,71.49,94,100,1.86,CO,1651801036
tiarei,-17.5333,-149.3333,77.02,79,25,12.19,PF,1651801036
kyra,49.5776,111.9753,41.16,25,0,8.88,RU,1651801037
asfi,32.2994,-9.2372,63.45,76,0,15.46,MA,1651801037
dongsheng,39.8161,109.9776,52.11,28,100,24.07,CN,1651801038
palabuhanratu,0.0,0.0,0.0,0,0,0.0,0,0
stettler,52.3168,-112.7186,69.55,37,100,17.27,CA,1651800832
sokoto,13.0609,5.239,86.27,44,100,9.91,NG,1651801038
porto novo,6.4965,2.6036,79.63,84,95,4.79,BJ,1651801039
maltahohe,-24.8333,16.9833,54.73,42,0,1.52,NA,1651801039
geraldton,-28.7667,114.6,66.61,34,0,23.02,AU,1651801040
road town,18.4167,-64.6167,78.89,73,20,8.05,VG,1651801040
pacific grove,36.6177,-121.9166,66.54,71,0,9.22,US,1651801041
epe,6.5841,3.9834,77.43,93,100,4.74,NG,1651801041
hami,42.8,93.45,80.24,21,100,5.59,CN,1651800947
walvis bay,-22.9575,14.5053,58.08,94,0,4.61,NA,1651800872
carnarvon,-24.8667,113.6333,75.27,31,0,13.8,AU,1651801042
mareeba,-17.0,145.4333,82.44,70,93,6.15,AU,1651801042
markova,48.6758,24.4138,45.79,85,9,3.74,UA,1651801042
chakwal,32.9334,72.8585,82.42,29,0,4.03,PK,1651801043
binzhou,37.3667,118.0167,79.38,37,72,16.49,CN,1651801043
bathurst,-33.4166,149.5806,53.22,45,0,8.48,AU,1651800768
roebourne,-20.7833,117.1333,80.04,33,0,22.46,AU,1651801044
khao yoi,13.2403,99.8243,85.95,61,100,2.82,TH,1651801044
katsuura,35.1333,140.3,67.08,71,100,7.92,JP,1651801045
grand river south east,0.0,0.0,0.0,0,0,0.0,0,0
shenxian,36.2411,115.6672,83.19,34,67,9.51,CN,1651801045
lompoc,34.6391,-120.4579,66.34,75,0,20.0,US,1651800781
tazovskiy,67.4667,78.7,12.25,84,7,9.19,RU,1651801046
hofn,64.2539,-15.2082,40.23,51,0,16.31,IS,1651801046
palana,59.1167,159.9667,28.87,85,100,18.72,RU,1651801047
illapel,-31.6308,-71.1653,62.98,71,76,2.13,CL,1651801047
bilibino,68.0546,166.4372,33.44,95,100,2.28,RU,1651801047
ust-nera,64.5667,143.2,32.68,89,99,7.96,RU,1651801048
kemijarvi,66.7131,27.4306,30.02,99,58,5.57,FI,1651801048
loa janan,-0.583,117.095,89.38,59,9,0.96,ID,1651801049
uglegorsk,49.0833,142.0333,48.2,81,95,16.46,RU,1651801049
aqtobe,50.2797,57.2072,35.69,69,0,13.42,KZ,1651801049
moerai,-22.4333,-151.3333,78.84,82,78,7.49,PF,1651801050
bokspits,0.0,0.0,0.0,0,0,0.0,0,0
batemans bay,-35.7167,150.1833,60.1,37,0,8.93,AU,1651801050
beira,-19.8436,34.8389,68.09,100,20,5.75,MZ,1651801051
klyuchi,52.2667,79.1667,58.77,29,47,8.52,RU,1651801051
kaka,37.3482,59.6143,72.45,53,22,4.47,TM,1651801052
znamenskoye,57.1281,73.8282,54.95,68,86,11.27,RU,1651801052
iwanai,42.9744,140.5089,70.77,33,50,8.52,JP,1651801052
saiki,32.95,131.9,67.5,81,100,9.35,JP,1651801053
port said,31.2565,32.2841,65.28,70,0,18.05,EG,1651801053
ahipara,-35.1667,173.1667,69.46,55,6,4.88,NZ,1651801054
sorland,67.667,12.6934,40.17,89,100,23.67,NO,1651801054
ugoofaaru,5.6667,73.0,84.47,72,100,9.04,MV,1651801055
waingapu,-9.6567,120.2641,85.78,67,34,11.5,ID,1651801055
tlalpujahua,0.0,0.0,0.0,0,0,0.0,0,0
saint anthony,45.0205,-93.218,62.38,46,0,4.61,US,1651801058
pangnirtung,66.1451,-65.7125,9.79,91,31,5.46,CA,1651801058
alotau,0.0,0.0,0.0,0,0,0.0,0,0
rozivka,46.9385,35.7724,51.46,44,100,14.36,UA,1651801059
kirkwall,58.9848,-2.9587,51.96,87,40,11.5,GB,1651801059
ambon,-3.6954,128.1814,86.14,74,20,4.61,ID,1651801060
malabo,3.75,8.7833,77.18,89,100,19.75,GQ,1651800823
kulykiv,50.3142,24.8176,44.28,71,61,6.89,UA,1651801060
neuquen,-38.9516,-68.0591,48.09,76,0,0.0,AR,1651801061
lulea,65.5842,22.1547,35.67,80,12,6.91,SE,1651801061
sun valley,39.5963,-119.776,65.57,27,75,28.77,US,1651801062
armacao dos buzios,0.0,0.0,0.0,0,0,0.0,0,0
kysyl-syr,63.8986,122.7617,35.85,73,37,2.8,RU,1651801062
louisbourg,0.0,0.0,0.0,0,0,0.0,0,0
gyanpur,25.35,82.4667,78.75,34,0,9.42,IN,1651801063
fare,-16.7,-151.0167,81.57,74,98,9.46,PF,1651801063
kalabo,-14.97,22.6814,60.1,77,8,4.09,ZM,1651800859
namibe,-15.1961,12.1522,77.92,50,0,0.98,AO,1651801064
zyryanka,65.75,150.85,33.42,100,100,7.99,RU,1651801064
bumba,2.1833,22.4667,69.24,97,98,3.06,CD,1651801065
ust-maya,60.4167,134.5333,40.98,64,89,7.09,RU,1651801065
copiapo,-27.3667,-70.3333,53.29,65,100,1.61,CL,1651801065
joetsu,37.1483,138.2364,67.84,61,90,3.78,JP,1651801066
aginskoye,51.1,114.53,43.45,20,2,17.27,RU,1651801066
nizhniy tsasuchey,50.5167,115.1333,44.6,19,48,17.0,RU,1651801067
alice springs,-23.7,133.8833,56.75,41,58,17.27,AU,1651801067
farmington,36.7281,-108.2187,72.28,15,0,13.8,US,1651801067
mrirt,0.0,0.0,0.0,0,0,0.0,0,0
seara,41.1818,-7.8003,61.16,69,1,1.21,PT,1651801068
batagay,67.6333,134.6333,29.79,79,100,5.44,RU,1651801068
mugan,35.9404,101.3842,67.59,20,99,1.57,CN,1651801069
olivehurst,39.0955,-121.5522,74.05,38,40,10.36,US,1651801069
qandala,11.472,49.8728,85.08,56,13,0.51,SO,1651801070
kirakira,-10.4544,161.9205,84.33,77,32,6.38,SB,1651801070
libreville,0.3925,9.4537,77.02,94,20,0.0,GA,1651801070
shu,43.5983,73.7614,63.37,58,48,2.62,KZ,1651801071
grajau,-5.8194,-46.1386,73.06,94,9,0.49,BR,1651801071
hyderabad,17.3753,78.4744,81.91,65,40,8.05,IN,1651801072
celestun,20.8667,-90.4,83.07,72,28,14.54,MX,1651801072
ryotsu,38.0833,138.4333,66.92,57,0,3.91,JP,1651801048
saint-joseph,-21.3667,55.6167,75.58,82,33,16.02,RE,1651801073
mao,39.8885,4.2658,61.36,63,0,16.11,ES,1651801073
port shepstone,-30.7414,30.455,66.06,54,0,6.96,ZA,1651801073
bendigo,-36.7667,144.2833,57.85,52,4,5.99,AU,1651801074
whitianga,-36.8333,175.7,65.79,65,11,3.11,NZ,1651801074
nhulunbuy,-12.2333,136.7667,86.61,62,40,18.41,AU,1651801075
henties bay,-22.116,14.2845,63.07,73,0,7.07,NA,1651801075
wamba,8.9333,8.6,73.63,92,100,4.29,NG,1651800940
luanda,-8.8368,13.2343,78.8,89,75,3.44,AO,1651801076
cape canaveral,28.4058,-80.6048,81.07,79,0,10.36,US,1651800555
la ronge,55.1001,-105.2842,43.05,70,100,10.36,CA,1651801076
jabiru,0.0,0.0,0.0,0,0,0.0,0,0
general roca,-39.0333,-67.5833,58.62,45,0,5.48,AR,1651801077
mackenzie,55.2999,-123.1698,52.02,43,75,3.44,CA,1651801077
ossora,59.2353,163.0719,32.0,93,100,4.61,RU,1651801077
abha,18.2164,42.5053,64.65,39,20,4.61,SA,1651801078
camacha,33.0833,-16.3333,60.22,77,40,8.05,PT,1651801078
payson,40.0444,-111.7321,72.88,21,75,9.22,US,1651801079
lixourion,38.2019,20.4314,60.31,74,33,8.32,GR,1651801079
inderborskiy,0.0,0.0,0.0,0,0,0.0,0,0
bahia honda,22.9036,-83.1592,77.18,78,20,6.17,CU,1651801080
monroe,43.1501,-77.6831,53.44,63,100,4.79,US,1651800463
boa viagem,-5.1275,-39.7322,70.99,94,87,2.39,BR,1651801081
rio gallegos,-51.6226,-69.2181,46.45,66,40,25.32,AR,1651801081
bonavista,48.6499,-53.1147,39.36,98,100,9.04,CA,1651801081
marv dasht,0.0,0.0,0.0,0,0,0.0,0,0
jieshi,22.8134,115.8257,80.94,72,55,9.44,CN,1651801082
clyde river,70.4692,-68.5914,14.23,79,0,3.44,CA,1651800888
ouadda,8.0777,22.4007,69.13,90,99,2.93,CF,1651801082
mangan,27.5167,88.5333,72.82,85,91,3.09,IN,1651801083
sibay,52.7181,58.6658,37.08,65,60,17.45,RU,1651801083
leon,21.1167,-101.6667,86.05,21,50,6.85,MX,1651801066
winnemucca,40.973,-117.7357,69.85,19,0,14.97,US,1651801084
bam,29.106,58.357,80.22,16,0,9.06,IR,1651801084
emborion,40.4833,21.55,48.56,80,20,1.16,GR,1651801085
chesma,53.8111,60.6533,38.44,60,13,18.45,RU,1651801085
baijiantan,45.6333,85.1833,72.14,46,100,9.95,CN,1651801085
skelleftea,64.7507,20.9528,39.99,56,17,6.91,SE,1651801086
aksu,41.1231,80.2644,76.35,25,76,6.02,CN,1651801086
trelew,-43.249,-65.3051,59.56,53,63,10.98,AR,1651801087
kalianget,-7.05,113.9333,83.53,76,5,8.3,ID,1651801087
axim,4.8699,-2.2405,80.1,84,100,3.62,GH,1651801087
orsha,54.5153,30.4053,36.52,77,18,7.27,BY,1651801088
carepa,7.7585,-76.6525,74.16,99,100,7.92,CO,1651801088
pangody,65.85,74.4859,16.81,89,94,5.41,RU,1651801089
ucluelet,48.9329,-125.5528,48.51,90,100,5.01,CA,1651800985
marystown,47.1666,-55.1483,41.86,100,100,3.06,CA,1651801089
angra,0.0,0.0,0.0,0,0,0.0,0,0
san julian,21.0167,-102.1667,76.62,20,70,8.25,MX,1651801090
el alto,-4.2714,-81.2147,66.97,79,100,11.03,PE,1651801090
vytegra,61.0064,36.4481,36.39,80,100,6.73,RU,1651801091
den helder,52.9599,4.7593,48.97,99,100,5.99,NL,1651801091
gilazi,0.0,0.0,0.0,0,0,0.0,0,0
sioux falls,43.55,-96.7003,57.06,75,100,4.61,US,1651801092
tir pol,0.0,0.0,0.0,0,0,0.0,0,0
concarneau,47.875,-3.9225,49.82,85,10,5.26,FR,1651801092
anaimalai,10.5833,76.9333,78.89,82,100,4.76,IN,1651801093
saint-paul,-21.0096,55.2707,77.11,79,15,3.22,RE,1651801093
olga,43.7444,135.2892,57.63,62,100,11.43,RU,1651801093
monte carmelo,-18.7247,-47.4986,59.65,84,0,5.08,BR,1651801094
lidkoping,58.5052,13.1577,40.41,90,11,10.85,SE,1651801094
rawannawi,0.0,0.0,0.0,0,0,0.0,0,0
